装配	3506001-T38V0_ASM00	包含:	
	1	零件	3506203-T38V2
	1	子装配	3506821-T38V2
	1	子装配	1001940-T13L0
	1	零件	1309036-T38V0
	1	零件	D501104-35
	1	零件	Q1841225
	1	子装配	3724951-T01-35
	1	子装配	3506821-T38V4
	5	零件	35ZB3A-06020
	1	子装配	35ZB6-06621-06621Q
			
			
			
子装配	3506801-T38V2	包含:	
	1	零件	3506801-T38V2
	2	子装配	35ZB6-06621-06621Q
			
			
			
子装配	35ZB6-06621-06621Q	包含:	
	2	零件	35ZB6-06621
	1	零件	Q1840850
	1	零件	Q32008
			
			
			
子装配	35ZB7-06111	包含:	
	1	零件	35ZB7-06111
	1	零件	35ZB6-06035
			
			
			
子装配	3506821-T38V0	包含:	
	1	零件	3506821-T38V0
	1	子装配	35ZB6-06621-06621Q
			
			
			
子装配	3506821-T38V2	包含:	
	1	零件	3506821-T38V2
	1	子装配	35ZB6-06621-06621
	1	零件	Q1840816
			
			
			
子装配	35ZB6-06621-06621	包含:	
	2	零件	35ZB6-06621
	1	零件	Q32008
	1	零件	Q1840850
			
			
			
子装配	1001940-T13L0	包含:	
	1	子装配	10ZD2A-01030
	1	零件	10ZD2A-01010
	1	零件	10ZD2A-01011
	1	零件	10ZD2A-01023
	1	零件	10ZD2A-01026
	1	零件	10ZD2A-01016
	1	子装配	1001025-T13L0
	3	零件	Q32212
	4	零件	Q341B14
	2	零件	Q1841455
	1	零件	10ZD2A-01024
	1	零件	Q151B16150
	2	零件	Q341B16
	3	零件	Q18412100
			
			
			
子装配	10ZD2A-01030	包含:	
	1	零件	10ZD2A-01017
	1	零件	10ZD2A-01021
	1	零件	10ZD2A-01022
			
			
			
子装配	1001025-T13L0	包含:	
	1	零件	1001028-T13L0
	2	零件	10ZD2A-01019
			
			
			
子装配	3724951-T01-35	包含:	
	1	零件	3724951-T01-35
	1	子装配	35ZB6-06621-06621Q
			
			
			
子装配	3506821-T38V4	包含:	
	1	零件	3506821-T38V4
	1	零件	3506041-K3100
	1	零件	Q353B27
	1	零件	Q80120-35
	2	零件	Q32010
			
			
			
子装配	3506P-T38V0	包含:	
	15	子装配	3506806-KD400
	1	零件	35ZB8A-06105
	2	子装配	3506800-KC500
	1	子装配	3506827-T68L0
	2	子装配	RQ834N5N5N5A
			
			
			
子装配	3506806-KD400	包含:	
	1	零件	3506806-KD400
	1	零件	35Z60C-06082_ASM01
	1	零件	Q150B1230
	1	零件	Q40312
	1	零件	Q340B12
			
			
			
子装配	3506800-KC500	包含:	
	1	零件	3506800-KC500
	1	零件	35Z60C-06082_ASM01
	1	零件	Q150B1230
	1	子装配	Q340B12
			
			
			
子装配	Q340B12	包含:	
	1	零件	Q340B12
	1	零件	Q40312
			
			
			
子装配	3506827-T68L0	包含:	
	1	零件	3506827-T68L0
	2	零件	35ZB8A-06105
			
			
			
子装配	RQ834N5N5N5A	包含:	
	2	零件	10____________
	1	零件	PAT30
	1	零件	PACC30AD30
			
			
			
子装配	3506Q-KINGLAND	包含:	
	1	子装配	3506821-K44J0
	1	零件	RH_BRKT1
	1	零件	3724202C0100
	1	零件	3506178-C0100
	1	零件	3506174-C0100_M
	4	零件	3506180-C0100_A
	1	零件	3514010-90002
	2	子装配	3514014-C0100
	1	子装配	3506042-B40D0
	1	子装配	35B06-06012
	6	零件	35Z60C-06082_ASM01
	1	零件	16ZB7-06042
	1	零件	3524081-T0100
	1	零件	8405C-C4100-XIAOGAIXING
	1	子装配	3506892-T68A0
	1	零件	3506801-T68A0
	6	零件	Q1840825
			
			
			
子装配	3506821-K44J0	包含:	
	2	零件	3506821-K44J0_0
	1	零件	3506821-K44J0_1
	2	零件	3506821-K44J0_2
	1	零件	3506821-K44K0_3
	6	零件	35Z60C-06082_ASM01
			
			
			
子装配	3514014-C0100	包含:	
	1	零件	3514014-C0100
	1	零件	35N-06027
			
			
			
子装配	3506042-B40D0	包含:	
	1	零件	3506042-B40D0_1
	1	零件	3506041-B40D0_2
	1	零件	3506041-B40D0_3
			
			
			
子装配	35B06-06012	包含:	
	1	零件	35B06-06012
	1	零件	35N-06036
			
			
			
子装配	3506892-T68A0	包含:	
	1	零件	3506892-T68A0_ASM01
	25	零件	3506892-T68A0_ASM02
			
			
			
子装配	3754110-T38H0	包含:	
	1	零件	37ZB3A-54010_
	1	零件	3754115-T38H0
	2	零件	3754110-T0100-PART1
	1	零件	3754130-KM6E0_2
	4	子装配	Q340B08
			
			
			
子装配	Q340B08	包含:	
	1	零件	Q340B08
	1	零件	Q40308
			
			
			
子装配	3511910-T38V0	包含:	
	1	零件	3506801-T68L0
	1	子装配	3511010-T38V0
	4	零件	Q32008
	1	零件	RQ83222N7A
	1	零件	RQ83122N7A
			
			
			
子装配	3511010-T38V0	包含:	
	1	零件	3511010-T68L0
	1	零件	3511121-T68L0
	4	零件	Q18408120
	4	零件	Q32006
			
			
			
子装配	3500K-T38V0	包含:	
	2	子装配	3530ZB1-001-B
	2	子装配	3530ZB1-002-B
	8	零件	RQ83216N7A
	1	子装配	3506821-T68L1
	2	子装配	3506832-T68L1
	2	子装配	3506821-T68L0
	1	子装配	3527910-T38V1
	13	零件	35Z60C-06082_ASM01
	1	子装配	3527960-T38V0
	2	子装配	3506806-KD400
			
			
			
子装配	3530ZB1-001-B	包含:	
	1	零件	3530ZB1-001-B
	2	零件	Q40316
	3	零件	Q341B16
	2	零件	Q340B16S
	8	零件	Q150B0825
	8	零件	Q40308
	8	零件	Q340B08
	2	零件	Q150B1060
	4	零件	Q340B10
			
			
			
子装配	3530ZB1-002-B	包含:	
	1	零件	3530ZB1-002-B
	2	零件	Q40316
	3	零件	Q341B16
	2	零件	Q340B16S
	8	零件	Q150B0825
	8	子装配	Q340B08
	2	零件	Q150B1060
	4	零件	Q340B10
			
			
			
子装配	3506821-T68L1	包含:	
	1	零件	3506821-T68L1
	4	零件	35ZB8A-06105
	2	零件	Q1840825
			
			
			
子装配	3506832-T68L1	包含:	
	1	零件	3506832-T68L1
	2	零件	35ZB8A-06105
			
			
			
子装配	3506821-T68L0	包含:	
	1	零件	3506821-T68L0
	2	零件	35ZB8A-06105
			
			
			
子装配	3527910-T38V1	包含:	
	1	子装配	3527010-91001
	2	零件	RQ83222N7A
	1	零件	3550101-T38V0
	2	零件	3550ZB6-001
	2	零件	RQ83122N7A
	2	零件	RQ83522N7N7A
	1	零件	RQ83422N5N7
	2	零件	3506511-T38V0
	1	零件	RQ83216N4A
	8	零件	Q32008
	4	零件	Q1840880
	2	零件	Q32010
	2	零件	Q1841030
			
			
			
子装配	3527010-91001	包含:	
	1	零件	3527010-H0100
	1	子装配	3543210-91000
			
			
			
子装配	3543210-91000	包含:	
	1	子装配	4324070700____920_1
			
			
			
子装配	4324070700____920_1	包含:	
	1	零件	MANIFOLD_SOLID_BREP_36259
	1	零件	MANIFOLD_SOLID_BREP_36389
			
			
			
子装配	3527960-T38V0	包含:	
	1	子装配	3527020-90001
	1	零件	RQ83222N7A
	1	零件	RQ83216N4A
	1	子装配	35Z41-06047
	1	零件	RQ83116N4
	2	零件	RQ83522N7N7A
	2	零件	Q32008
	3	子装配	3506853-T38V0
			
			
			
子装配	3527020-90001	包含:	
	1	零件	3527020-90000_ASM01
	4	零件	3527010-90000_ASM02
	1	零件	3527020-90000_ASM02
			
			
			
子装配	3506853-T38V0	包含:	
	1	零件	3506853-T38V0
	1	零件	35Z60C-06082_ASM01
	1	零件	Q32010
	1	零件	Q1841030
			
			
			
子装配	3513950-T38V1	包含:	
	1	子装配	3703125-T38V0
	2	子装配	3513102-T38V0
	1	子装配	3543910-T38V1
	2	子装配	3513010-T31Z0
	1	子装配	3513010-T68L0
	2	子装配	3524Z06A-010
	3	子装配	3513D-040
	3	零件	RQ83222N7A
	2	子装配	35N-06038
	1	子装配	3506803-T38V0
	1	零件	RQ83122N4
	2	零件	RQ83122N7A
	1	零件	3506513-T38V0
	1	零件	3506515-T38V0
	1	零件	3506517-T38V0
	2	零件	35Z60C-06082_ASM01
	1	子装配	35Z41-06047
	2	零件	Q1840820
	3	零件	Q1841230
	8	零件	Q1841235
	1	零件	T38V-GAN160001
	1	零件	T38V-GAN230001
	1	零件	RQ83216N3A
	1	零件	RQ83216N5A
			
			
			
子装配	3703125-T38V0	包含:	
	1	子装配	3703150-T38V0
	1	子装配	3703155-T38V0
	1	子装配	3703140-T38V0
	2	零件	3703010-H0100
	1	零件	3703010-T0100
	4	零件	3703241-T38V0
	1	子装配	3771110-H0100-1_
	1	子装配	3736010-T38B0
	1	零件	3736010-KF2J0
	1	零件	ECU-CHENXIE
	2	子装配	3703230-T38V0
	1	零件	Q1841230
	1	零件	Q32012
	1	零件	Q32010
	1	子装配	3703310-T38V0
			
			
			
子装配	3703150-T38V0	包含:	
	1	零件	3703151-T38V0
	1	零件	3703152-T38V0
			
			
			
子装配	3703155-T38V0	包含:	
	1	零件	3703156-T38V0
	1	零件	3703157-T38V0
			
			
			
子装配	3703140-T38V0	包含:	
	1	零件	3703141-T38V0
	2	零件	3703228-T25F0
	5	零件	3703211-T38V0
			
			
			
子装配	3771110-H0100-1_	包含:	
	1	零件	DPPDH-PRT0002_
	1	零件	DPPDH-PRT0003_
	1	零件	DPPDH-PRT0004_
	1	零件	DPPDH-PRT0005_
	1	零件	DPPDH-PRT0006_
	1	零件	DPPDH-PRT0007_
	1	零件	DPPDH-PRT0008_
	1	零件	DPPDH-PRT0009_
	1	零件	DPPDH-PRT0010_
	1	零件	DPPDH-PRT0011_
	1	零件	DPPDH-PRT0012_
	1	零件	DPPDH-PRT0013_
	1	零件	DPPDH-PRT0014_
	1	零件	DPPDH-PRT0015_
	1	零件	DPPDH-PRT0016_
	1	零件	DPPDH-PRT0017_
	1	零件	DPPDH-PRT0018_
	1	零件	DPPDH-PRT0019_
	1	零件	DPPDH-PRT0020_
	1	零件	DPPDH-PRT0021_
	1	零件	DPPDH-PRT0022_
	1	零件	DPPDH-PRT0023_
	1	零件	DPPDH-PRT0024_
	1	零件	DPPDH-PRT0025_
	1	零件	DPPDH-PRT0026_
	1	零件	DPPDH-PRT0027_
	1	零件	DPPDH-PRT0029_
	1	零件	DPPDH-PRT0030_
	1	零件	DPPDH-PRT0031_
	1	零件	DPPDH-PRT0032_
	1	零件	DPPDH-PRT0033_
	1	零件	DPPDH-PRT0034_
	1	零件	DPPDH-PRT0035_
	1	零件	DPPDH-PRT0036_
	1	零件	DPPDH-PRT0037_
	1	零件	DPPDH-PRT0038_
	1	零件	DPPDH-PRT0039_
	1	零件	DPPDH-PRT0040_
	1	零件	DPPDH-PRT0041_
	1	零件	DPPDH-PRT0042_
	1	零件	DPPDH-PRT0043_
	1	零件	DPPDH-PRT0044_
	1	零件	DPPDH-PRT0045_
	1	零件	DPPDH-PRT0046_
	1	零件	DPPDH-PRT0047_
	1	零件	DPPDH-PRT0048_
	1	零件	DPPDH-PRT0049_
	1	零件	DPPDH-PRT0050_
	1	零件	DPPDH-PRT0051_
	1	零件	DPPDH-PRT0052_
	1	零件	DPPDH-PRT0053_
	1	零件	DPPDH-PRT0054_
	1	零件	DPPDH-PRT0055_
	1	零件	DPPDH-PRT0057_
	1	零件	DPPDH-PRT0058_
	1	零件	DPPDH-PRT0059_
	1	零件	DPPDH-PRT0060_
	1	零件	DPPDH-PRT0061_
	1	零件	DPPDH-PRT0062_
	1	零件	DPPDH-PRT0063_
	1	零件	DPPDH-PRT0064_
	1	零件	DPPDH-PRT0065_
	1	零件	DPPDH-PRT0066_
	1	零件	DPPDH-PRT0067_
	1	零件	DPPDH-PRT0068_
	1	零件	DPPDH-PRT0069_
	1	零件	DPPDH-PRT0070_
	1	零件	DPPDH-PRT0071_
	1	零件	DPPDH-PRT0072_
	1	零件	DPPDH-PRT0073_
	1	零件	DPPDH-PRT0074_
	1	零件	DPPDH-PRT0075_
	1	零件	DPPDH-PRT0076_
	1	零件	DPPDH-PRT0077_
	1	零件	DPPDH-PRT0078_
	1	零件	DPPDH-PRT0079_
	1	零件	DPPDH-PRT0080_
	1	零件	DPPDH-PRT0081_
	1	零件	DPPDH-PRT0082_
	1	零件	DPPDH-PRT0083_
	1	零件	DPPDH-PRT0084_
	1	零件	DPPDH-PRT0085_
	1	零件	DPPDH-PRT0086_
	1	零件	DPPDH-PRT0087_
	1	零件	DPPDH-PRT0088_
	1	零件	DPPDH-PRT0089_
	1	零件	DPPDH-PRT0090_
	1	零件	DPPDH-PRT0091_
	1	零件	DPPDH-PRT0092_
	1	零件	DPPDH-PRT0093_
	1	零件	DPPDH-PRT0094_
	1	零件	DPPDH-PRT0095_
	1	零件	DPPDH-PRT0096_
	1	零件	DPPDH-PRT0097_
	1	零件	DPPDH-PRT0098_
	1	零件	DPPDH-PRT0099_
	1	零件	DPPDH-PRT0100_
	1	零件	DPPDH-PRT0101_
	1	零件	DPPDH-PRT0102_
